Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
162,,,,,,,0.2476,0.1133,5.11E-04,,,
163,,,,,,,0.2543,0.1163,5.87E-04,,,
164,,,,,,,0.2638,0.1247,6.08E-04,,,
165,,,,,,,0.2615,0.12,6.55E-04,,,
166,,,,,,,0.2465,0.1118,5.20E-04,,,
167,,,,,,,0.2491,0.1145,5.18E-04,,,
168,,,,,,,0.2503,0.1085,6.62E-04,,,
169,,,,,,,0.221,0.0914,4.17E-04,,,
170,,,,,,,0.2518,0.1084,6.94E-04,,,
171,,,,,,,0.265,0.1179,7.68E-04,,,
172,,,,,,,0.2659,0.1168,8.08E-04,,,
173,,,,,,,0.2745,0.1175,9.65E-04,,,
174,,,,,,,0.2354,0.1056,4.23E-04,,,
175,,,,,,,0.3261,0.1693,9.63E-04,,,
176,,,,,,,0.2564,0.1211,5.30E-04,,,
177,,,,,,,0.26,0.1204,6.20E-04,,,
178,,,,,,,0.2838,0.1389,7.23E-04,,,
179,,,,,,,0.3312,0.1499,0.0015,,,
180,,,,,,,0.3131,0.1627,8.33E-04,,,
181,,,,,,,0.2471,0.1103,5.64E-04,,,
182,,,,,,,0.2778,0.1303,7.77E-04,,,
183,,,,,,,0.2365,0.1021,5.13E-04,,,
184,,,,,,,0.2574,0.1234,5.05E-04,,,
185,,,,,,,0.2451,0.1058,6.13E-04,,,
186,,,,,,,0.2673,0.1322,5.28E-04,,,
187,,,,,,,0.237,0.1058,4.50E-04,,,
188,,,,,,,0.228,0.0984,4.18E-04,,,
189,,,,,,,0.2444,0.1097,5.20E-04,,,
190,,,,,,,0.2714,0.1238,7.78E-04,,,
191,,,,,,,0.2538,0.116,5.82E-04,,,
192,,,,,,,0.2849,0.1333,8.58E-04,,,
193,,,,,,,0.2938,0.1479,7.44E-04,,,
194,,,,,,,0.2379,0.1107,3.71E-04,,,
195,,,,,,,0.282,0.1386,6.94E-04,,,
196,,,,,,,0.3041,0.1574,7.59E-04,,,
197,,,,,,,0.2419,0.1082,5.00E-04,,,
198,,,,,,,0.2305,0.0996,4.45E-04,,,
199,,,,,,,0.2438,0.1105,4.91E-04,,,
200,,,,,,,0.2468,0.1079,6.05E-04,,,
201,,,,,,,0.3099,0.1595,8.34E-04,,,
202,,,,,,,0.2523,0.1204,4.64E-04,,,
203,,,,,,,0.273,0.1237,8.10E-04,,,
204,,,,,,,0.2297,0.0968,4.84E-04,,,
205,,,,,,,0.2298,0.095,5.23E-04,,,
206,,,,,,,0.2132,0.0827,4.36E-04,,,
